Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,2,0.00,91.50,28.50,47.00,16.00,27.50,6.00,21.50,16.50,7.50,2.20,91.50,9.50,21.00,45.24,23.50,37.00,63.51,16.00,24.00,66.67,1.00,6.00,0.80,5.00,14.00,0.36,7.50,1.00,106.00
Flamengo,3,0.00,89.00,37.00,36.67,15.33,36.00,8.33,27.67,14.67,11.67,1.26,89.00,12.33,29.67,41.57,18.33,33.67,54.46,15.33,20.33,75.41,1.00,4.33,0.37,2.00,17.33,0.12,11.67,2.00,96.67
Bauru Basket,3,0.00,82.33,29.00,40.67,12.67,36.33,14.67,21.67,11.67,8.33,1.40,82.33,9.67,29.33,32.95,20.33,39.67,51.26,12.67,21.00,60.32,2.33,7.00,0.84,1.33,23.33,0.06,8.33,1.67,83.00
Pinheiros,3,0.00,81.67,21.00,47.33,13.33,28.67,6.67,22.00,16.33,9.67,1.69,81.67,7.00,19.00,36.84,23.67,39.67,59.66,13.33,20.33,65.57,5.33,7.33,0.76,1.33,14.33,0.09,9.67,2.33,90.67
Coop/São José Basketball,3,0.00,80.33,28.00,38.00,14.33,26.67,7.00,19.67,20.00,12.67,1.58,80.33,9.33,26.67,35.00,19.00,30.33,62.64,14.33,16.00,89.58,1.33,5.67,0.45,0.00,20.00,0.00,12.67,1.33,89.67
Minas,3,0.00,80.00,23.00,44.67,12.33,27.00,7.00,20.00,21.00,13.00,1.62,80.00,7.67,20.67,37.10,22.33,41.00,54.47,12.33,16.33,75.51,0.67,6.33,0.49,3.33,16.00,0.21,13.00,3.67,89.00
Paulistano,3,0.00,79.00,19.00,45.33,14.67,33.00,12.00,21.00,12.33,18.00,0.69,79.00,6.33,20.00,31.67,22.67,43.33,52.31,14.67,21.00,69.84,1.33,6.00,0.33,1.67,24.33,0.07,18.00,8.33,73.33
Brasília,3,0.00,79.00,22.00,38.00,19.00,31.67,5.33,26.33,9.00,11.33,0.79,79.00,7.33,19.00,38.60,19.00,37.00,51.35,19.00,23.67,80.28,0.00,2.67,0.24,1.00,23.00,0.04,11.33,4.33,77.67
Joinville,2,0.00,77.00,24.00,38.00,15.00,29.00,8.50,20.50,15.50,14.00,1.11,77.00,8.00,24.50,32.65,19.00,34.50,55.07,15.00,21.00,71.43,0.50,4.00,0.29,2.00,20.50,0.10,14.00,2.00,75.50
Londrina,2,0.00,74.50,27.00,35.00,12.50,27.00,9.00,18.00,14.50,11.00,1.32,74.50,9.00,23.00,39.13,17.50,34.00,51.47,12.50,18.50,67.57,0.50,7.00,0.64,1.00,20.00,0.05,11.00,3.50,76.50
Assis,3,0.00,74.00,23.00,35.33,15.67,33.00,13.00,20.00,10.33,12.33,0.84,74.00,7.67,26.33,29.11,17.67,37.67,46.90,15.67,20.67,75.81,1.67,7.67,0.62,1.67,20.67,0.08,12.33,5.67,70.67
Saldanha,3,0.00,72.33,20.00,42.00,10.33,29.00,9.33,19.67,9.00,13.00,0.69,72.33,6.67,24.00,27.78,21.00,38.67,54.31,10.33,18.00,57.41,2.67,6.00,0.46,1.67,19.00,0.09,13.00,3.33,62.33
Espírito Santo,3,0.00,69.67,14.00,44.00,11.67,25.67,10.00,15.67,11.00,13.33,0.83,69.67,4.67,22.67,20.59,22.00,39.67,55.46,11.67,19.67,59.32,1.33,11.00,0.83,3.33,16.33,0.20,13.33,2.67,63.67
Araraquara,2,0.00,65.50,22.50,36.00,7.00,30.00,12.50,17.50,13.50,18.50,0.73,65.50,7.50,24.50,30.61,18.00,35.00,51.43,7.00,10.50,66.67,2.00,9.00,0.49,4.50,14.00,0.32,18.50,1.50,66.50
